Callsign,AircraftType,Registration,Origin,Destination,CrusingAltitude,ScheduleTimeDeparture,ScheduleTimeArrival,SpotArrival,SpotDeparture,DepartureRunway,ArrivalRunway,Airline,Route
CDG4095,B738,B5453,ZSJN,RKSI,25000,2015-05-13 01:48:00,,,,,,CDG,PULUN_RKSI
KAL9906,B777,HL7733,LDZA,RKSI,25000,2015-05-13 01:49:00,,,,,,KAL,PULUN_RKSI
CES5041,A320,B6586,ZSPD,RKSI,25000,2015-05-13 01:50:00,,,,,,CES,PULUN_RKSI
KAL706,B747,HL7494,RJAA,RKSI,25000,2015-05-13 01:51:00,,,,,,KAL,PULUN_RKSI
AAR542,B747,HL7423,EDDF,RKSI,25000,2015-05-13 01:52:00,,,,,,AAR,PULUN_RKSI
CCA123,A332,B6075,ZBAA,RKSI,25000,2015-05-13 01:53:00,,,,,,CCA,PULUN_RKSI
KAL796,B738,HL8242,RJCC,RKSI,25000,2015-05-13 01:54:00,,,,,,KAL,PULUN_RKSI
AAR8532,A320,HL7769,RKPK,RKSI,25000,2015-05-13 01:55:00,,,,,,AAR,PULUN_RKSI
KAL846,B737,HL7785,ZSQD,RKSI,25000,2015-05-13 01:56:00,,,,,,KAL,PULUN_RKSI
CSN687,A321,B2280,ZYCC,RKSI,25000,2015-05-13 01:57:00,,,,,,CSN,PULUN_RKSI
CES2033,A320,B2336,ZSQD,RKSI,25000,2015-05-13 01:58:00,,,,,,CES,PULUN_RKSI
JAL951,B763,JA609J,RJAA,RKSI,25000,2015-05-13 01:59:00,,,,,,JAL,PULUN_RKSI
ANA941,A320,JA8386,RJGG,RKSI,25000,2015-05-13 02:00:00,,,,,,ANA,PULUN_RKSI
KAL906,A388,HL7615,EDDF,RKSI,25000,2015-05-13 02:01:00,,,,,,KAL,PULUN_RKSI
CES217,A320,B6558,ZSYN,RKSI,25000,2015-05-13 02:02:00,,,,,,CES,PULUN_RKSI
KAL832,A333,HL7525,ZYTX,RKSI,25000,2015-05-13 02:03:00,,,,,,KAL,PULUN_RKSI
ESR612,B737,HL8215,RJBB,RKSI,25000,2015-05-13 02:04:00,,,,,,ESR,PULUN_RKSI
AAR768,A330,HL7740,VIDP,RKSI,25000,2015-05-13 02:05:00,,,,,,AAR,PULUN_RKSI
CCA127,A321,B6597,ZSQD,RKSI,25000,2015-05-13 02:06:00,,,,,,CCA,PULUN_RKSI
CES2017,A320,B6716,ZSWH,RKSI,25000,2015-05-13 02:07:00,,,,,,CES,PULUN_RKSI
AAR318,A320,HL7762,ZSQD,RKSI,25000,2015-05-13 02:08:00,,,,,,AAR,PULUN_RKSI
CSN6073,A321,B6302,ZYYJ,RKSI,25000,2015-05-13 02:09:00,,,,,,CSN,PULUN_RKSI
AAR302,A321,HL7722,ZYTL,RKSI,25000,2015-05-13 02:10:00,,,,,,AAR,PULUN_RKSI
AAR131,B777,HL7597,RJFF,RKSI,25000,2015-05-13 02:11:00,,,,,,AAR,PULUN_RKSI
KLM865,B747,PHBFS,EHAM,RKSI,25000,2015-05-13 02:12:00,,,,,,KLM,PULUN_RKSI
ANA907,A320,JA8393,RJAA,RKSI,25000,2015-05-13 02:13:00,,,,,,ANA,PULUN_RKSI
KAL930,A332,HL8227,ULLI,RKSI,25000,2015-05-13 02:14:00,,,,,,KAL,PULUN_RKSI
AAR332,A321,HL7763,ZBAA,RKSI,25000,2015-05-13 02:15:00,,,,,,AAR,PULUN_RKSI
KAL780,B738,HL8244,RJNS,RKSI,25000,2015-05-13 02:16:00,,,,,,KAL,PULUN_RKSI
AAR121,B763,HL7506,RJGG,RKSI,25000,2015-05-13 02:17:00,,,,,,AAR,PULUN_RKSI
TWB292,B737,HL8237,RJFF,RKSI,25000,2015-05-13 02:18:00,,,,,,TWB,PULUN_RKSI
KAL806,B737,HL8240,ZBTJ,RKSI,25000,2015-05-13 02:19:00,,,,,,KAL,PULUN_RKSI
JJA1301,B737,HL8214,RJBB,RKSI,25000,2015-05-13 02:20:00,,,,,,JJA,PULUN_RKSI
KAL776,B737,HL7757,RJNK,RKSI,25000,2015-05-13 02:21:00,,,,,,KAL,PULUN_RKSI
AAR127,A321,HL7789,RJNT,RKSI,25000,2015-05-13 02:22:00,,,,,,AAR,PULUN_RKSI
KAL908,B744,HL7487,EGLL,RKSI,25000,2015-05-13 02:23:00,,,,,,KAL,PULUN_RKSI
KAL724,A332,HL7552,RJBB,RKSI,25000,2015-05-13 02:24:00,,,,,,KAL,PULUN_RKSI
CCA131,B738,B5326,ZBAA,RKSI,25000,2015-05-13 02:25:00,,,,,,CCA,PULUN_RKSI
CSZ9787,B738,B5412,ZGSZ,RKSI,25000,2015-05-13 02:26:00,,,,,,CSZ,PULUN_RKSI
CPA410,B744,BHUB,VHHH,RKSI,25000,2015-05-13 02:27:00,,,,,,CPA,PULUN_RKSI
CCA435,B733,B2590,ZUUU,RKSI,25000,2015-05-13 02:28:00,,,,,,CCA,PULUN_RKSI
CCA143,B738,B5171,ZYYJ,RKSI,25000,2015-05-13 02:29:00,,,,,,CCA,PULUN_RKSI
CDG4081,B738,B5349,ZSQD,RKSI,25000,2015-05-13 02:30:00,,,,,,CDG,PULUN_RKSI
KAL894,A333,HL7584,ZSPD,RKSI,25000,2015-05-13 02:31:00,,,,,,KAL,PULUN_RKSI
KAL074,B772,HL7764,CYYZ,RKSI,25000,2015-05-13 02:32:00,,,,,,KAL,PULUN_RKSI
CSN337,A321,B6683,ZGGG,RKSI,25000,2015-05-13 02:33:00,,,,,,CSN,PULUN_RKSI
KAL902,B773,HL8218,LFPG,RKSI,25000,2015-05-13 02:34:00,,,,,,KAL,PULUN_RKSI
AAR111,B777,HL7742,RJBB,RKSI,25000,2015-05-13 02:35:00,,,,,,AAR,PULUN_RKSI
ESR602,B737,HL8264,RJAA,RKSI,25000,2015-05-13 02:36:00,,,,,,ESR,PULUN_RKSI
AAR101,B747,HL7418,RJAA,RKSI,25000,2015-05-13 02:37:00,,,,,,AAR,PULUN_RKSI
AAR125,A320,HL7735,RJNS,RKSI,25000,2015-05-13 02:38:00,,,,,,AAR,PULUN_RKSI
KAL934,B772,HL7526,LSZH,RKSI,25000,2015-05-13 02:39:00,,,,,,KAL,PULUN_RKSI
AAR171,A321,HL7723,ROAH,RKSI,25000,2015-05-13 02:40:00,,,,,,AAR,PULUN_RKSI
AAR304,A320,HL7772,ZYCC,RKSI,25000,2015-05-13 02:41:00,,,,,,AAR,PULUN_RKSI
DAL159,B777,N860DA,KDTW,RKSI,25000,2015-05-13 02:42:00,,,,,,DAL,PULUN_RKSI
KAL958,B772,HL7575,LLBG,RKSI,25000,2015-05-13 02:43:00,,,,,,KAL,PULUN_RKSI
ACA063,B763,CFTCA,CYYZ,RKSI,25000,2015-05-13 02:44:00,,,,,,ACA,PULUN_RKSI
KAL702,B777,HL7534,RJAA,RKSI,25000,2015-05-13 02:45:00,,,,,,KAL,PULUN_RKSI
KAL052,A330,HL7586,PHNL,RKSI,25000,2015-05-13 02:46:00,,,,,,KAL,PULUN_RKSI
KAL758,B744,HL7460,RJGG,RKSI,25000,2015-05-13 02:47:00,,,,,,KAL,PULUN_RKSI
AAR362,B777,HL7739,ZSPD,RKSI,25000,2015-05-13 02:48:00,,,,,,AAR,PULUN_RKSI
THA692,B777,HSTJS,VTBS,RKSI,25000,2015-05-13 02:49:00,,,,,,THA,PULUN_RKSI
UAL893,B744,N121UA,KBOS,RKSI,25000,2015-05-13 02:50:00,,,,,,UAL,PULUN_RKSI
AAR522,B777,HL7596,EGLL,RKSI,25000,2015-05-13 02:51:00,,,,,,AAR,PULUN_RKSI
SIA600,A333,9VSTB,WSSS,RKSI,25000,2015-05-13 02:52:00,,,,,,SIA,PULUN_RKSI
AAR328,B767,HL7247,ZBTJ,RKSI,25000,2015-05-13 02:53:00,,,,,,AAR,PULUN_RKSI
CES5033,A321,B6367,ZSPD,RKSI,25000,2015-05-13 02:54:00,,,,,,CES,PULUN_RKSI
AAR151,A321,HL7712,RJSS,RKSI,25000,2015-05-13 02:55:00,,,,,,AAR,PULUN_RKSI
CES559,A320,B6008,ZSQD,RKSI,25000,2015-05-13 02:56:00,,,,,,CES,PULUN_RKSI
JNA202,B737,HL7798,RJCC,RKSI,25000,2015-05-13 02:57:00,,,,,,JNA,PULUN_RKSI
AAR221,B777,HL7775,KJFK,RKSI,25000,2015-05-13 02:58:00,,,,,,AAR,PULUN_RKSI
AAR103,A330,HL7740,RJAA,RKSI,25000,2015-05-13 02:59:00,,,,,,AAR,PULUN_RKSI
CSN3065,A320,B6272,ZGHA,RKSI,25000,2015-05-13 03:00:00,,,,,,CSN,PULUN_RKSI
KAL774,B739,HL7706,RJCH,RKSI,25000,2015-05-13 03:01:00,,,,,,KAL,PULUN_RKSI
KAL038,B747,HL7472,KORD,RKSI,25000,2015-05-13 03:02:00,,,,,,KAL,PULUN_RKSI
KAL826,B739,HL7705,ZYYJ,RKSI,25000,2015-05-13 03:03:00,,,,,,KAL,PULUN_RKSI
KAL704,B773,HL7532,RJAA,RKSI,25000,2015-05-13 03:04:00,,,,,,KAL,PULUN_RKSI
KAL032,B772,HL7750,KDFW,RKSI,25000,2015-05-13 03:05:00,,,,,,KAL,PULUN_RKSI
KAL982,B737,HL7562,UHWW,RKSI,25000,2015-05-13 03:06:00,,,,,,KAL,PULUN_RKSI
AAR163,A321,HL7731,RJOH,RKSI,25000,2015-05-13 03:07:00,,,,,,AAR,PULUN_RKSI
QTR882,A332,A7ACH,OTBD,RKSI,25000,2015-05-13 03:08:00,,,,,,QTR,PULUN_RKSI
AAR364,A330,HL7741,ZSPD,RKSI,25000,2015-05-13 03:09:00,,,,,,AAR,PULUN_RKSI
UAE322,B777,A6EBN,OMDB,RKSI,25000,2015-05-13 03:10:00,,,,,,UAE,PULUN_RKSI
KAL820,A333,HL7538,ZGHA,RKSI,25000,2015-05-13 03:11:00,,,,,,KAL,PULUN_RKSI
SIA16,B77W,9VSWJ,WSSS,RKSI,25000,2015-05-13 03:12:00,,,,,,SIA,PULUN_RKSI
KAL824,B738,HL8241,ZYMD,RKSI,25000,2015-05-13 03:13:00,,,,,,KAL,PULUN_RKSI
HVN414,A321,VNA365,VVNB,RKSI,25000,2015-05-13 03:14:00,,,,,,HVN,PULUN_RKSI
AAR352,A321,HL7711,ZYYJ,RKSI,25000,2015-05-13 03:15:00,,,,,,AAR,PULUN_RKSI
KAL870,B738,HL8223,ZYTL,RKSI,25000,2015-05-13 03:16:00,,,,,,KAL,PULUN_RKSI
KAL094,B773,HL7783,KIAD,RKSI,25000,2015-05-13 03:17:00,,,,,,KAL,PULUN_RKSI
KAL692,A333,HL7587,RCTP,RKSI,25000,2015-05-13 03:18:00,,,,,,KAL,PULUN_RKSI
KAL856,B773,HL7573,ZBAA,RKSI,25000,2015-05-13 03:19:00,,,,,,KAL,PULUN_RKSI
KAL768,B738,HL8225,RJSA,RKSI,25000,2015-05-13 03:20:00,,,,,,KAL,PULUN_RKSI
AAR712,B777,HL7500,RCTP,RKSI,25000,2015-05-13 03:21:00,,,,,,AAR,PULUN_RKSI
KAL020,B777,HL7530,KSEA,RKSI,25000,2015-05-13 03:22:00,,,,,,KAL,PULUN_RKSI
AAR213,B777,HL7756,KSFO,RKSI,25000,2015-05-13 03:23:00,,,,,,AAR,PULUN_RKSI
VLK4636,A320,VQBCG,UHWW,RKSI,25000,2015-05-13 03:24:00,,,,,,VLK,PULUN_RKSI
KAL054,B744,HL7495,PHNL,RKSI,25000,2015-05-13 03:25:00,,,,,,KAL,PULUN_RKSI
THY090,A343,TCJDN,LTBA,RKSI,25000,2015-05-13 03:26:00,,,,,,THY,PULUN_RKSI
AAR358,A321,HL7773,ZUCK,RKSI,25000,2015-05-13 03:27:00,,,,,,AAR,PULUN_RKSI
KAL604,A333,HL7550,VHHH,RKSI,25000,2015-05-13 03:28:00,,,,,,KAL,PULUN_RKSI
KAL082,A380,HL7612,KJFK,RKSI,25000,2015-05-13 03:29:00,,,,,,KAL,PULUN_RKSI
KAL766,A333,HL7709,RJCC,RKSI,25000,2015-05-13 03:30:00,,,,,,KAL,PULUN_RKSI
KAL842,A333,HL7702,ZSQD,RKSI,25000,2015-05-13 03:31:00,,,,,,KAL,PULUN_RKSI
AAR702,B767,HL7248,RPLL,RKSI,25000,2015-05-13 03:32:00,,,,,,AAR,PULUN_RKSI
KAL840,B739,HL7785,ZSWH,RKSI,25000,2015-05-13 03:33:00,,,,,,KAL,PULUN_RKSI
KAL898,A333,HL7540,ZSPD,RKSI,25000,2015-05-13 03:34:00,,,,,,KAL,PULUN_RKSI
KAL786,B738,HL7725,RJFK,RKSI,25000,2015-05-13 03:35:00,,,,,,KAL,PULUN_RKSI
CCA125,B738,B5497,ZBAA,RKSI,25000,2015-05-13 03:36:00,,,,,,CCA,PULUN_RKSI
KAL036,B773,HL8216,KATL,RKSI,25000,2015-05-13 03:37:00,,,,,,KAL,PULUN_RKSI
KAL622,B773,HL7533,RPLL,RKSI,25000,2015-05-13 03:38:00,,,,,,KAL,PULUN_RKSI
KAL072,B772,HL7752,CYVR,RKSI,25000,2015-05-13 03:39:00,,,,,,KAL,PULUN_RKSI
KAL018,A380,HL7613,KLAX,RKSI,25000,2015-05-13 03:40:00,,,,,,KAL,PULUN_RKSI
AAR133,A321,HL7762,RJFF,RKSI,25000,2015-05-13 03:41:00,,,,,,AAR,PULUN_RKSI
KAL1414,B737,HL7561,RKTN,RKSI,25000,2015-05-13 03:42:00,,,,,,KAL,PULUN_RKSI
