Time,Name,Aircraft,Instruction,InstructionTimeInSeconds
2012-05-13 07:40:01,SeoulApproach,KAL1412,Landing,11
2012-05-13 07:40:24,SeoulApproach,FIN041,FreqencyChange,11
2012-05-13 07:40:24,IncheonTower2,FIN041,Landing,11
2012-05-13 07:40:52,IncheonGround,SIA608,Taxi,0
2012-05-13 07:40:52,IncheonTower2,SIA608,FreqencyChange,11
2012-05-13 07:43:21,SeoulApproach,KAL1412,FreqencyChange,11
2012-05-13 07:43:21,IncheonTower2,KAL1412,Landing,11
2012-05-13 07:43:59,IncheonGround,AAR701,AssignSpot(NonWork)->46,0
2012-05-13 07:43:59,IncheonGround,EZD039,AssignSpot(NonWork)->117,0
2012-05-13 07:44:53,IncheonGround,JJA2702,Taxi,0
2012-05-13 07:44:53,IncheonTower2,JJA2702,FreqencyChange,11
2012-05-13 07:46:50,IncheonTower2,FIN041,Taxi,0
2012-05-13 07:47:59,IncheonGround,THA655,AssignSpot(NonWork)->106,0
2012-05-13 07:48:00,IncheonGround,KAL603,AssignSpot(NonWork)->27,0
2012-05-13 07:48:03,IncheonTower2,FIN041,Crossing,7
2012-05-13 07:48:59,IncheonGround,CES2044,AssignSpot(NonWork)->131,0
2012-05-13 07:48:59,IncheonGround,KAL643,AssignSpot(NonWork)->19,0
2012-05-13 07:49:41,IncheonTower2,KAL1412,Taxi,0
2012-05-13 07:50:56,IncheonTower2,KAL1412,Crossing,7
2012-05-13 07:53:01,SeoulApproach,KAL114,AssignSpot(NonWork)->17,0
2012-05-13 07:53:01,SeoulApproach,KAL114,Landing,11
2012-05-13 07:53:22,IncheonGround,FIN041,Taxi,0
2012-05-13 07:53:22,IncheonTower2,FIN041,FreqencyChange,11
2012-05-13 07:56:01,IncheonGround,KAL621,Pushback,9
2012-05-13 07:56:11,IncheonGround,JAL950,Pushback,9
2012-05-13 07:56:12,SeoulApproach,KAL114,FreqencyChange,11
2012-05-13 07:56:12,IncheonTower2,KAL114,Landing,11
2012-05-13 07:57:01,IncheonGround,AMU825,Pushback,9
2012-05-13 07:57:59,IncheonGround,KAL1401,AssignSpot(NonWork)->1,0
2012-05-13 07:58:32,IncheonGround,KAL1412,Taxi,0
2012-05-13 07:58:32,IncheonTower2,KAL1412,FreqencyChange,11
2012-05-13 08:00:01,SeoulApproach,KAL1402,AssignSpot(NonWork)->228,0
2012-05-13 08:00:01,SeoulApproach,KAL1402,Landing,11
2012-05-13 08:00:54,IncheonGround,KAL621,Taxi,0
2012-05-13 08:01:07,IncheonGround,JAL950,Taxi,0
2012-05-13 08:01:09,IncheonGround,PAL467,Pushback,9
2012-05-13 08:02:09,IncheonGround,KAL621,FreqencyChange,11
2012-05-13 08:02:15,IncheonGround,AMU825,Taxi,0
2012-05-13 08:02:17,IncheonGround,KAL787,Pushback,9
2012-05-13 08:02:19,IncheonTower2,KAL114,Taxi,0
2012-05-13 08:02:29,IncheonTower2,KAL621,Lineup,9
2012-05-13 08:02:55,IncheonGround,JAL950,FreqencyChange,11
2012-05-13 08:03:07,IncheonGround,KAL831,Pushback,9
2012-05-13 08:03:12,IncheonTower2,KAL621,Takeoff,11
2012-05-13 08:03:24,SeoulApproach,KAL1402,FreqencyChange,11
2012-05-13 08:03:24,IncheonTower2,KAL1402,Landing,11
2012-05-13 08:03:59,IncheonGround,KAL1413,AssignSpot(NonWork)->3,0
2012-05-13 08:04:00,IncheonGround,ESR601,AssignSpot(NonWork)->127,0
2012-05-13 08:04:00,IncheonGround,AAR357,AssignSpot(NonWork)->30,0
2012-05-13 08:04:01,SeoulApproach,GIA870,AssignSpot(NonWork)->108,0
2012-05-13 08:04:01,SeoulApproach,GIA870,Landing,11
2012-05-13 08:04:11,IncheonTower2,KAL114,Crossing,7
2012-05-13 08:04:54,IncheonGround,AMU825,FreqencyChange,11
2012-05-13 08:04:59,IncheonTower2,JAL950,Lineup,9
2012-05-13 08:04:59,IncheonGround,ESR611,AssignSpot(NonWork)->128,0
2012-05-13 08:05:38,IncheonTower2,JAL950,Takeoff,11
2012-05-13 08:05:42,IncheonTower2,KAL621,FreqencyChange,11
2012-05-13 08:05:54,IncheonGround,PAL467,Taxi,0
2012-05-13 08:05:59,IncheonGround,AAR731,AssignSpot(NonWork)->38,0
2012-05-13 08:06:59,IncheonTower2,AMU825,Lineup,9
2012-05-13 08:06:59,IncheonGround,KAL779,AssignSpot(NonWork)->9,0
2012-05-13 08:07:00,IncheonGround,CCA134,AssignSpot(NonWork)->102,0
2012-05-13 08:07:00,IncheonGround,AAR369,AssignSpot(NonWork)->43,0
2012-05-13 08:07:01,SeoulApproach,KAL642,AssignSpot(NonWork)->205,0
2012-05-13 08:07:01,SeoulApproach,KAL642,Landing,11
2012-05-13 08:07:18,IncheonGround,CSN316,Pushback,9
2012-05-13 08:07:18,IncheonGround,KAL787,Taxi,0
2012-05-13 08:07:19,IncheonGround,KAL845,Pushback,9
2012-05-13 08:07:26,SeoulApproach,GIA870,FreqencyChange,11
2012-05-13 08:07:26,IncheonTower2,GIA870,Landing,11
2012-05-13 08:07:49,IncheonTower2,AMU825,Takeoff,11
2012-05-13 08:07:50,IncheonGround,KAL831,Taxi,0
2012-05-13 08:08:16,IncheonTower2,JAL950,FreqencyChange,11
2012-05-13 08:09:01,IncheonGround,KAL831,FreqencyChange,11
2012-05-13 08:09:02,IncheonGround,PAL467,FreqencyChange,11
2012-05-13 08:09:22,IncheonTower2,KAL831,Lineup,9
2012-05-13 08:09:47,IncheonTower2,KAL1402,Taxi,0
2012-05-13 08:10:13,IncheonTower2,KAL831,Takeoff,11
2012-05-13 08:10:15,SeoulApproach,KAL642,FreqencyChange,11
2012-05-13 08:10:24,IncheonTower2,AMU825,FreqencyChange,11
2012-05-13 08:10:27,IncheonGround,KAL787,FreqencyChange,11
2012-05-13 08:10:55,IncheonTower2,PAL467,Lineup,9
2012-05-13 08:10:59,IncheonGround,AAR331,AssignSpot(NonWork)->50,0
2012-05-13 08:11:01,SeoulApproach,GIA878,AssignSpot(NonWork)->109,0
2012-05-13 08:11:01,SeoulApproach,GIA878,Landing,11
2012-05-13 08:11:54,IncheonGround,KAL114,Taxi,0
2012-05-13 08:11:54,IncheonTower2,KAL114,FreqencyChange,11
2012-05-13 08:12:29,IncheonGround,KAL845,Taxi,0
2012-05-13 08:12:48,IncheonTower2,KAL831,FreqencyChange,11
2012-05-13 08:13:05,IncheonTower2,PAL467,Takeoff,11
2012-05-13 08:13:13,IncheonGround,CSN316,Taxi,0
2012-05-13 08:13:48,IncheonTower2,KAL787,Lineup,9
2012-05-13 08:13:53,IncheonTower2,GIA870,Taxi,0
2012-05-13 08:13:59,IncheonGround,KAL893,AssignSpot(NonWork)->8,0
2012-05-13 08:14:01,SeoulApproach,KAL638,AssignSpot(NonWork)->24,0
2012-05-13 08:14:01,SeoulApproach,KAL638,Landing,11
2012-05-13 08:14:01,IncheonGround,EZD039,Pushback,9
2012-05-13 08:14:10,IncheonGround,AAR701,Pushback,9
2012-05-13 08:14:25,SeoulApproach,GIA878,FreqencyChange,11
2012-05-13 08:14:25,IncheonTower2,GIA878,Landing,11
2012-05-13 08:15:36,IncheonTower2,KAL787,Takeoff,11
2012-05-13 08:15:42,IncheonTower2,PAL467,FreqencyChange,11
2012-05-13 08:15:58,IncheonGround,CSN316,FreqencyChange,11
2012-05-13 08:15:59,IncheonGround,KAL845,FreqencyChange,11
2012-05-13 08:16:19,IncheonTower2,CSN316,Lineup,9
2012-05-13 08:16:29,IncheonTower2,KAL642,Taxi,0
2012-05-13 08:17:01,SeoulApproach,TWB102,AssignSpot(NonWork)->103,0
2012-05-13 08:17:01,SeoulApproach,TWB102,Landing,11
2012-05-13 08:17:28,SeoulApproach,KAL638,FreqencyChange,11
2012-05-13 08:17:28,IncheonTower2,KAL638,Landing,11
2012-05-13 08:17:47,IncheonTower2,CSN316,Takeoff,11
2012-05-13 08:17:59,IncheonGround,CPA415,AssignSpot(NonWork)->124,0
2012-05-13 08:18:01,IncheonGround,KAL603,Pushback,9
2012-05-13 08:18:11,IncheonGround,THA655,Pushback,9
2012-05-13 08:18:15,IncheonTower2,KAL787,FreqencyChange,11
2012-05-13 08:18:32,IncheonTower2,KAL845,Lineup,9
2012-05-13 08:18:58,IncheonGround,EZD039,Taxi,0
2012-05-13 08:18:59,IncheonGround,CES5052,AssignSpot(NonWork)->130,0
2012-05-13 08:19:01,IncheonGround,CES2044,Pushback,9
2012-05-13 08:19:11,IncheonGround,KAL643,Pushback,9
2012-05-13 08:19:31,IncheonGround,AAR701,Taxi,0
2012-05-13 08:20:01,SeoulApproach,KAL720,AssignSpot(NonWork)->6,0
2012-05-13 08:20:01,SeoulApproach,KAL720,Landing,11
2012-05-13 08:20:03,IncheonTower2,KAL845,Takeoff,11
2012-05-13 08:20:22,IncheonGround,AAR701,FreqencyChange,11
2012-05-13 08:20:28,SeoulApproach,TWB102,FreqencyChange,11
2012-05-13 08:20:28,IncheonTower2,TWB102,Landing,11
2012-05-13 08:20:30,IncheonTower2,CSN316,FreqencyChange,11
2012-05-13 08:20:42,IncheonTower1,AAR701,Lineup,9
2012-05-13 08:20:51,IncheonTower2,GIA878,Taxi,0
2012-05-13 08:21:00,IncheonGround,EZD039,FreqencyChange,11
2012-05-13 08:21:11,IncheonTower2,KAL1402,Crossing,7
2012-05-13 08:21:22,IncheonTower1,AAR701,Takeoff,11
2012-05-13 08:21:43,IncheonTower2,GIA870,Crossing,7
2012-05-13 08:21:59,IncheonGround,KAL827,AssignSpot(NonWork)->11,0
2012-05-13 08:21:59,IncheonGround,AAR122,AssignSpot(NonWork)->40,0
2012-05-13 08:21:59,IncheonGround,AAR603,AssignSpot(NonWork)->49,0
2012-05-13 08:22:37,IncheonTower2,KAL642,Crossing,7
2012-05-13 08:22:47,IncheonTower2,KAL845,FreqencyChange,11
2012-05-13 08:23:09,IncheonTower1,EZD039,Lineup,9
2012-05-13 08:23:22,IncheonGround,THA655,Taxi,0
2012-05-13 08:23:24,IncheonTower2,GIA878,Crossing,7
2012-05-13 08:23:26,SeoulApproach,KAL720,FreqencyChange,11
2012-05-13 08:23:27,IncheonGround,KAL603,Taxi,0
2012-05-13 08:23:44,IncheonTower1,EZD039,Takeoff,11
2012-05-13 08:23:49,IncheonGround,CES2044,Taxi,0
2012-05-13 08:23:55,IncheonTower1,AAR701,FreqencyChange,11
2012-05-13 08:23:57,IncheonTower2,KAL638,Taxi,0
2012-05-13 08:24:20,IncheonGround,KAL643,Taxi,0
2012-05-13 08:25:11,IncheonTower2,KAL638,Crossing,7
2012-05-13 08:25:12,IncheonGround,KAL1402,Taxi,0
2012-05-13 08:25:12,IncheonTower2,KAL1402,FreqencyChange,11
2012-05-13 08:26:12,IncheonGround,CES2044,FreqencyChange,11
2012-05-13 08:26:19,IncheonTower1,EZD039,FreqencyChange,11
2012-05-13 08:26:31,IncheonTower1,CES2044,Lineup,9
2012-05-13 08:26:56,IncheonTower2,TWB102,Taxi,0
2012-05-13 08:26:59,IncheonGround,KAL819,AssignSpot(NonWork)->26,0
2012-05-13 08:27:07,IncheonTower1,CES2044,Takeoff,11
2012-05-13 08:27:51,IncheonGround,GIA870,Taxi,0
2012-05-13 08:27:51,IncheonTower2,GIA870,FreqencyChange,11
2012-05-13 08:28:01,IncheonGround,KAL1401,Pushback,9
2012-05-13 08:28:19,IncheonTower2,TWB102,Crossing,7
2012-05-13 08:28:57,IncheonGround,KAL603,FreqencyChange,11
2012-05-13 08:28:59,IncheonGround,JJA1302,AssignSpot(NonWork)->118,0
2012-05-13 08:28:59,IncheonGround,KAL723,AssignSpot(NonWork)->14,0
2012-05-13 08:28:59,IncheonGround,AAR102,AssignSpot(NonWork)->33,0
2012-05-13 08:29:15,IncheonGround,KAL642,Taxi,0
